,東京,東京,江戸川臨海,江戸川臨海,練馬,練馬
,平均気温(℃),降水量の合計(mm),平均気温(℃),降水量の合計(mm),平均気温(℃),降水量の合計(mm)
2017/11/13,11.8,7.0,12.5,5.5,10.6,5.0
2017/11/14,11.9,4.0,12.6,4.0,11.7,2.0
2017/11/15,12.8,0,13.0,0.0,12.1,0.0
2017/11/16,11.6,0,12.1,0.0,11.1,0.0
2017/11/17,9.9,0,10.5,0.0,8.7,0.0
2017/11/18,10.7,0.5,11.7,0.5,9.1,0.0
2017/11/19,8.6,0,9.3,0.0,8.2,0.0
2017/11/20,6.4,0,6.8,0.0,5.7,0.0
2017/11/21,7.9,0,8.4,0.0,6.7,0.0
2017/11/22,7.1,2.0,7.4,2.0,5.8,1.5
2017/11/23,9.4,27.0,9.8,34.5,9.4,18.5
2017/11/24,9.4,0.0,10.2,0.0,8.6,0.0
2017/11/25,9.1,0,9.8,0.0,7.8,0.0
2017/11/26,11.6,0,12.5,0.0,10.2,0.0
2017/11/27,11.4,0,11.8,0.0,10.6,0.0
2017/11/28,11.6,0.0,11.8,0.0,11.5,0.0
2017/11/29,12.7,0,13.0,0.0,12.1,0.0
2017/11/30,11.0,0.5,11.4,0.0,10.3,1.5
2017/12/1,8.5,0.0,8.6,0.0,8.0,0.0
2017/12/2,7.6,0,7.8,0.0,6.6,0.0
2017/12/3,8.2,0,8.9,0.0,7.1,0.0
2017/12/4,8.8,0.0,9.5,0.0,7.3,0.5
2017/12/5,9.2,0,10.4,0.0,8.8,0.0
2017/12/6,6.9,0,7.3,0.0,5.7,0.0
2017/12/7,6.4,0,7.1,0.0,5.6,0.0
2017/12/8,5.7,4.5,5.9,3.5,4.5,3.5
2017/12/9,5.9,0,6.7,0.5,5.1,0.0
2017/12/10,6.9,0,8.5,0.0,5.6,0.0
2017/12/11,9.9,0.0,11.9,0.0,8.3,0.0
2017/12/12,6.8,0,7.7,0.0,6.0,0.0
2017/12/13,5.9,0,6.6,0.0,4.7,0.0
2017/12/14,5.7,0,6.3,0.0,4.9,0.0
2017/12/15,5.4,0.0,6.1,0.0,4.0,0.0
2017/12/16,7.7,0,8.7,0.0,6.6,0.0
2017/12/17,6.1,0,6.7,0.0,5.4,0.0
2017/12/18,4.4,0,4.9,0.0,3.5,0.0
2017/12/19,6.5,0,7.1,0.0,5.5,0.0
2017/12/20,5.7,0,5.8,0.0,4.6,0.0
2017/12/21,5.3,0,6.0,0.0,3.7,0.0
2017/12/22,5.4,0,6.4,0.0,4.1,0.0
2017/12/23,7.1,0,7.4,0.0,5.8,0.0
2017/12/24,7.4,0.0,8.1,2.0,5.8,0.0
2017/12/25,9.4,10.5,10.4,10.0,8.4,8.5
2017/12/26,7.5,0,8.3,0.0,6.7,0.0
2017/12/27,4.5,0,5.0,0.0,3.9,0.0
2017/12/28,4.8,0,5.4,0.0,3.9,0.0
2017/12/29,6.1,0,6.9,0.0,5.7,0.0
2017/12/30,6.2,0,6.8,0.0,5.0,0.0
2017/12/31,3.8,0.0,4.0,0.0,3.0,0.0
2018/1/1,6.2,0,6.7,0.0,5.2,0.0
2018/1/2,6.1,0,7.1,0.0,6.0,0.0
2018/1/3,4.9,0,5.3,0.0,4.2,0.0
2018/1/4,4.7,0,4.8,0.0,4.1,0.0
2018/1/5,3.7,0.0,3.5,0.0,3.2,0.0
2018/1/6,4.6,0,5.5,0.0,3.9,0.0
2018/1/7,6.3,0,7.2,0.0,6.1,0.0
2018/1/8,5.5,8.0,5.9,10.0,4.5,4.5
2018/1/9,8.5,1.5,8.8,1.5,8.5,1.0
2018/1/10,7.5,0,8.1,0.0,6.8,0.0
2018/1/11,5.3,0,6.1,0.0,4.1,0.0
2018/1/12,2.7,0,2.9,0.0,1.5,0.0
2018/1/13,2.7,0,3.4,0.0,2.0,0.0
2018/1/14,4.1,0,4.7,0.0,3.4,0.0
2018/1/15,4.2,0,5.9,0.0,2.2,0.0
2018/1/16,7.1,0,7.6,0.0,5.6,0.0
2018/1/17,6.9,15.0,7.5,18.0,5.7,5.5
2018/1/18,8.3,0.0,8.3,0.0,7.9,0.0
2018/1/19,8.4,0,8.4,0.0,8.3,0.0
2018/1/20,6.3,0.0,6.3,0.0,6.2,0.0
2018/1/21,7.0,0,7.3,0.0,6.2,0.0
2018/1/22,1.7,24.0,1.8,12.5,1.2,27.5
2018/1/23,3.7,0.0,5.3,0.0,2.2,0.0
2018/1/24,2.2,0,3.6,0.0,1.0,0.0
2018/1/25,0.0,0,0.6,0.0,-1.5,0.0
2018/1/26,0.5,0,1.3,0.0,-1.0,0.0
2018/1/27,2.6,0,3.3,0.0,1.7,0.0
2018/1/28,1.7,0.0,2.5,0.0,0.6,0.0
2018/1/29,3.7,0.0,4.1,0.0,2.6,0.0
2018/1/30,3.3,0.0,3.6,0.0,2.7,0.0
2018/1/31,3.9,0,4.3,0.0,2.8,0.0
2018/2/1,3.0,9.0,3.3,7.5,2.3,7.0
2018/2/2,1.9,6.0,2.2,4.0,1.7,4.5
2018/2/3,4.5,0.0,5.0,0.0,3.9,0.0
2018/2/4,5.4,0.0,5.7,0.0,4.9,0.0
2018/2/5,4.3,0,4.9,0.0,3.3,0.0
2018/2/6,3.3,0,3.9,0.0,2.4,0.0
2018/2/7,3.4,0,4.3,0.0,2.4,0.0
2018/2/8,3.6,0,4.2,0.0,2.8,0.0
2018/2/9,4.2,0,4.5,0.0,3.1,0.0
2018/2/10,7.0,1.5,7.1,1.0,6.5,0.5
2018/2/11,8.5,0.0,8.9,0.0,8.1,0.0
2018/2/12,4.4,0,4.9,0.0,3.7,0.0
2018/2/13,3.9,0,4.8,0.0,3.2,0.0
2018/2/14,6.0,0,6.7,0.0,5.2,0.0
2018/2/15,9.6,0,10.1,0.0,8.3,0.0
2018/2/16,6.3,0,6.3,0.0,5.9,0.0
2018/2/17,5.8,0.0,6.1,0.0,5.3,0.0
2018/2/18,3.5,0,3.7,0.0,3.1,0.0
2018/2/19,5.7,0,5.7,0.0,5.2,0.0
2018/2/20,7.5,0,8.0,0.0,6.9,0.0
2018/2/21,5.9,0,6.0,0.0,5.4,0.0
2018/2/22,2.7,2.0,2.4,3.0,2.6,0.0
2018/2/23,3.7,0.5,4.1,0.0,3.6,1.0
2018/2/24,7.4,0,7.6,0.0,7.0,0.0
2018/2/25,5.6,0.0,5.5,0.0,5.4,0.0
2018/2/26,6.0,0,6.1,0.0,5.6,0.0
2018/2/27,7.7,0,7.9,0.0,7.7,0.0
2018/2/28,9.1,1.0,9.3,0.0,8.6,0.0
2018/3/1,12.4,48.0,13.4,51.0,11.6,35.0
