date,temperature,rain
2017/9/11,25.8,3.0
2017/9/12,24.8,4.5
2017/9/13,26.2,0.0
2017/9/14,25.7,0.0
2017/9/15,23.9,0.0
2017/9/16,20.5,8.0
2017/9/17,19.0,52.0
2017/9/18,27.0,16.0
2017/9/19,24.6,0
2017/9/20,23.3,0.0
2017/9/21,24.2,0
2017/9/22,21.9,20.5
2017/9/23,20.1,12.5
2017/9/24,21.9,0
2017/9/25,23.7,0.0
2017/9/26,23.8,0
2017/9/27,23.7,2.5
2017/9/28,19.2,45.5
2017/9/29,19.9,0.0
2017/9/30,20.1,0
2017/10/1,20.9,0
2017/10/2,22.3,3.5
2017/10/3,22.1,0.5
2017/10/4,18.3,0.0
2017/10/5,16.9,0
2017/10/6,15.7,28.0
2017/10/7,18.0,33.5
2017/10/8,20.9,0
2017/10/9,21.0,0.0
2017/10/10,22.8,0
2017/10/11,21.2,0.0
2017/10/12,23.1,0.5
2017/10/13,15.9,4.5
2017/10/14,14.6,19.0
2017/10/15,15.0,13.5
2017/10/16,12.7,32.0
2017/10/17,13.3,7.5
2017/10/18,14.5,0.0
2017/10/19,11.0,42.0
2017/10/20,14.3,15.5
2017/10/21,16.4,21.5
2017/10/22,17.4,147.5
2017/10/23,19.0,40.0
2017/10/24,15.1,0.0
2017/10/25,12.8,9.5
2017/10/26,14.4,0
2017/10/27,15.1,0
2017/10/28,14.4,7.5
2017/10/29,14.5,105.5
2017/10/30,15.3,0
2017/10/31,12.7,0
2017/11/1,13.1,0
2017/11/2,15.3,0.0
2017/11/3,16.2,5.5
2017/11/4,16.1,0.5
2017/11/5,13.3,0
2017/11/6,13.6,0
2017/11/7,15.5,0
2017/11/8,14.6,0.0
2017/11/9,14.4,0
2017/11/10,12.9,0
2017/11/11,16.4,0
2017/11/12,12.0,0
2017/11/13,11.8,7.0
2017/11/14,11.9,4.0
2017/11/15,12.8,0
2017/11/16,11.6,0
2017/11/17,9.9,0
2017/11/18,10.7,0.5
2017/11/19,8.6,0
2017/11/20,6.4,0
2017/11/21,7.9,0
2017/11/22,7.1,2.0
2017/11/23,9.4,27.0
2017/11/24,9.4,0.0
2017/11/25,9.1,0
2017/11/26,11.6,0
2017/11/27,11.4,0
2017/11/28,11.6,0.0
2017/11/29,12.7,0
2017/11/30,11.0,0.5
2017/12/1,8.5,0.0
2017/12/2,7.6,0
2017/12/3,8.2,0
2017/12/4,8.8,0.0
2017/12/5,9.2,0
2017/12/6,6.9,0
2017/12/7,6.4,0
2017/12/8,5.7,4.5
2017/12/9,5.9,0
2017/12/10,6.9,0
2017/12/11,9.9,0.0
2017/12/12,6.8,0
2017/12/13,5.9,0
2017/12/14,5.7,0
2017/12/15,5.4,0.0
2017/12/16,7.7,0
2017/12/17,6.1,0
2017/12/18,4.4,0
2017/12/19,6.5,0
2017/12/20,5.7,0
2017/12/21,5.3,0
2017/12/22,5.4,0
2017/12/23,7.1,0
2017/12/24,7.4,0.0
2017/12/25,9.4,10.5
2017/12/26,7.5,0
2017/12/27,4.5,0
2017/12/28,4.8,0
2017/12/29,6.1,0
2017/12/30,6.2,0
2017/12/31,3.8,0.0
2018/1/1,6.2,0
2018/1/2,6.1,0
2018/1/3,4.9,0
2018/1/4,4.7,0
2018/1/5,3.7,0.0
2018/1/6,4.6,0
2018/1/7,6.3,0
2018/1/8,5.5,8.0
2018/1/9,8.5,1.5
2018/1/10,7.5,0
2018/1/11,5.3,0
2018/1/12,2.7,0
2018/1/13,2.7,0
2018/1/14,4.1,0
2018/1/15,4.2,0
2018/1/16,7.1,0
2018/1/17,6.9,15.0
2018/1/18,8.3,0.0
2018/1/19,8.4,0
2018/1/20,6.3,0.0
2018/1/21,7.0,0
2018/1/22,1.7,24.0
2018/1/23,3.7,0.0
2018/1/24,2.2,0
2018/1/25,0.0,0
2018/1/26,0.5,0
2018/1/27,2.6,0
2018/1/28,1.7,0.0
2018/1/29,3.7,0.0
2018/1/30,3.3,0.0
2018/1/31,3.9,0
2018/2/1,3.0,9.0
2018/2/2,1.9,6.0
2018/2/3,4.5,0.0
2018/2/4,5.4,0.0
2018/2/5,4.3,0
2018/2/6,3.3,0
2018/2/7,3.4,0
2018/2/8,3.6,0
2018/2/9,4.2,0
2018/2/10,7.0,1.5
2018/2/11,8.5,0.0
2018/2/12,4.4,0
2018/2/13,3.9,0
2018/2/14,6.0,0
2018/2/15,9.6,0
2018/2/16,6.3,0
2018/2/17,5.8,0.0
2018/2/18,3.5,0
2018/2/19,5.7,0
2018/2/20,7.5,0
2018/2/21,5.9,0
2018/2/22,2.7,2.0
2018/2/23,3.7,0.5
2018/2/24,7.4,0
2018/2/25,5.6,0.0
2018/2/26,6.0,0
2018/2/27,7.7,0
2018/2/28,9.1,1.0
2018/3/1,12.4,48.0
2018/3/2,9.4,0
2018/3/3,9.7,0
2018/3/4,13.9,0
2018/3/5,15.6,15.5
2018/3/6,8.3,3.0
2018/3/7,5.2,0.0
2018/3/8,5.9,26.0
2018/3/9,11.6,58.0
2018/3/10,7.3,1.5
2018/3/11,9.2,0.0
2018/3/12,9.9,0
2018/3/13,11.6,0
2018/3/14,14.3,0
2018/3/15,15.9,0
2018/3/16,13.2,4.0
2018/3/17,7.4,0
2018/3/18,11.3,0
2018/3/19,13.0,0.5
2018/3/20,8.4,10.0
2018/3/21,3.8,31.0
2018/3/22,9.5,20.0
2018/3/23,11.9,2.5
2018/3/24,11.3,0.0
2018/3/25,13.0,0
2018/3/26,14.1,0
2018/3/27,15.7,0
2018/3/28,17.2,0
2018/3/29,18.1,0
2018/3/30,13.8,0
2018/3/31,13.4,0
